Day,target,mean_sent,STOCH_slowk,STOCH_slowd,MACD,MACD_hist,CCI_5,CCI_10,CCI_21,CCI_50,MOM_5,MOM_10,MOM_21,RSI_5,RSI_10,RSI_21,RSI_50
2015-01-01,0.0,0.011820331557674145,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,-76.48735687794755,-58.93094448296468,-57.96308066331846,-8.626979359415019,-28.059998000000007,-48.58898899999997,-80.842987,30.941130312497307,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-02,1.0,0.009463732540764491,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,-76.48735687794755,-58.93094448296468,-57.96308066331846,-8.626979359415019,-28.059998000000007,-48.58898899999997,-80.842987,30.941130312497307,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-03,0.0,0.009646205216783157,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,-76.48735687794755,-58.93094448296468,-57.96308066331846,-8.626979359415019,-28.059998000000007,-48.58898899999997,-80.842987,30.941130312497307,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-04,0.0,0.00998122508718562,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,-76.48735687794755,-58.93094448296468,-57.96308066331846,-8.626979359415019,-28.059998000000007,-48.58898899999997,-80.842987,30.941130312497307,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-05,1.0,0.010447885475119654,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,-76.48735687794755,-58.93094448296468,-57.96308066331846,-8.626979359415019,-28.059998000000007,-48.58898899999997,-80.842987,30.941130312497307,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-06,1.0,0.0093144734687745,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,-20.229422408500113,-58.93094448296468,-57.96308066331846,-8.626979359415019,-28.059998000000007,-48.58898899999997,-80.842987,30.941130312497307,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-07,1.0,0.010998686584865849,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,80.44652779585945,-58.93094448296468,-57.96308066331846,-8.626979359415019,-20.695007000000032,-48.58898899999997,-80.842987,39.33461119422116,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-08,0.0,0.010286208020174438,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,52.33449158597083,-58.93094448296468,-57.96308066331846,-8.626979359415019,2.266998000000001,-48.58898899999997,-80.842987,32.64607671266229,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-09,1.0,0.010307229112874109,67.19874395575552,57.42280520015214,-12.540185836508016,4.42659927650098,39.50044677064557,-58.93094448296468,-57.96308066331846,-8.626979359415019,26.21298300000001,-48.58898899999997,-80.842987,40.73823557616824,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-10,0.0,0.011288831274528392,48.609229805620366,58.09849344932595,-12.540185836508016,4.42659927650098,-110.62490499120025,-58.93094448296468,-57.96308066331846,-8.626979359415019,0.32199100000002545,-48.58898899999997,-80.842987,30.580937019560345,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-11,0.0,0.007827748274715903,28.37103213450212,48.05966863195934,-12.540185836508016,4.42659927650098,-126.87434360029789,-97.39452317686727,-57.96308066331846,-8.626979359415019,-20.528990999999962,-48.58898899999997,-80.842987,25.86382994344306,30.495281080489022,36.523876769373864,43.52645409410458
2015-01-12,1.0,0.009922149830878309,6.458755337337692,27.8130057591534,-12.540185836508016,4.42659927650098,-91.24482418812192,-96.03606605107154,-57.96308066331846,-8.626979359415019,-26.541015999999956,-47.23602299999999,-80.842987,29.061685203217642,31.79486636667457,36.523876769373864,43.52645409410458
2015-01-13,0.0,0.008683286277184166,6.5600705126886245,13.79661932817615,-12.540185836508016,4.42659927650098,-165.75202147877008,-225.29596328210155,-57.96308066331846,-8.626979359415019,-57.48800699999998,-55.22100899999998,-80.842987,14.117459049311101,22.583599375704452,36.523876769373864,43.52645409410458
2015-01-14,0.0,0.008990790627141953,7.830614264976192,6.949813371667509,-12.540185836508016,4.42659927650098,-139.51953197288327,-241.52669667679882,-57.96308066331846,-8.626979359415019,-112.304993,-86.09200999999999,-80.842987,8.150791083541908,16.525423121373183,36.523876769373864,43.52645409410458
2015-01-15,1.0,0.010329782368512005,16.489592812892592,10.293425863519142,-12.540185836508016,4.42659927650098,-67.18122832206876,-125.34373482469617,-57.96308066331846,-8.626979359415019,-64.95199600000001,-64.63000499999998,-80.842987,32.020120409055636,30.327438045488552,36.523876769373864,43.52645409410458
2015-01-16,0.0,0.009677077212328659,25.81372460005244,16.71131055930708,-12.540185836508016,4.42659927650098,-34.5442888150612,-85.82817306553483,-57.96308066331846,-8.626979359415019,-57.56300400000001,-78.09199499999997,-80.842987,31.45768530095841,30.02385116140726,36.523876769373864,43.52645409410458
2015-01-17,0.0,0.011581932382642449,33.48825038882194,25.26385593392233,-12.540185836508016,4.42659927650098,-41.4081313817902,-80.74794791971034,-57.96308066331846,-8.626979359415019,-68.53599500000001,-95.07701099999997,-80.842987,28.313118217010203,28.424613437820923,36.523876769373864,43.52645409410458
2015-01-18,1.0,0.011308793206722218,44.15805259166397,34.48667586017945,-12.540185836508016,4.42659927650098,58.080013891339206,-57.21147538713408,-57.96308066331846,-8.626979359415019,-15.521987000000024,-73.009994,-80.842987,38.02216065090216,33.36861725333233,36.523876769373864,43.52645409410458
